Caller Type,Caller Type Words,Caller Tag,Caller Tag Words,Caller Method,Caller Method Words,Caller Super Types,Calling Super Types Words,Called  Type,Called Type Words,Called  Tagged Type,Called Tagged Type Words,Called Method,Called Method Words
model.InterpolatingModel,interpolating:model,@SocialDistanceInterpolatingModel,social:distance:interpolating:model,isSafe,is:safe,none,none,util.SocialDistancingUtil,social:distancing:util,@BasicSocialDistanceUtility,basic:social:distance:utility,isInterpolatedSafe,is:interpolated:safe
model.DerivedModel,derived:model,@SocialDistancDerivingModel,social:deriving:model,isSafe,is:safe,none,none,util.SocialDistancingUtil,social:distancing:util,@BasicSocialDistanceUtility,basic:social:distance:utility,isDerivedSafe,is:derived:safe
data.SafeCombinations,safe:combinations,SafeCombinations,safe:combinations,getSafeCombinations,get:safe:combinations,none,none,java.util.List,list,java.util.List,list,collect,collect
data.SafeCombinations,safe:combinations,SafeCombinations,safe:combinations,getSafeCombinations,get:safe:combinations,none,none,java.util.List,list,java.util.List,list,stream,stream
data.SafeCombinations,safe:combinations,SafeCombinations,safe:combinations,generateCombinations,generate:combinations,none,none,java.util.ArrayList,array:list,java.util.ArrayList,array:list,ArrayList,array:list
data.SafeCombinations,safe:combinations,SafeCombinations,safe:combinations,generateCombinations,generate:combinations,none,none,java.util.List,list,java.util.List,list,add,add
data.SafeCombinations,safe:combinations,SafeCombinations,safe:combinations,generateCombinations,generate:combinations,none,none,java.util.List,list,java.util.List,list,add,add
data.SafeCombinations,safe:combinations,SafeCombinations,safe:combinations,generateCombinations,generate:combinations,none,none,java.util.List,list,java.util.List,list,add,add
data.SafeCombinations,safe:combinations,SafeCombinations,safe:combinations,generateCombinations,generate:combinations,none,none,java.util.List,list,java.util.List,list,add,add
data.SafeCombinations,safe:combinations,SafeCombinations,safe:combinations,generateCombinations,generate:combinations,none,none,java.util.List,list,java.util.List,list,add,add
data.SafeCombinations,safe:combinations,SafeCombinations,safe:combinations,generateCombinations,generate:combinations,none,none,java.util.List,list,java.util.List,list,add,add
data.SafeCombinations,safe:combinations,SafeCombinations,safe:combinations,generateCombinations,generate:combinations,none,none,java.util.List,list,java.util.List,list,add,add
factory.ModelFactory,model:factory,@SocialDistanceModelFactory,social:distance:model:factory,getSingleton,get:singleton,none,none,model.BasicModel,basic:model,@SocialDistanceBasicModel,social:distance:basic:model,BasicModel,basic:model
util.MvcUtil,mvc:util,MvcUtil,mvc:util,startSocialDistancingMvc,start:social:distancing:mvc,none,none,factory.ModelFactory,model:factory,@SocialDistanceModelFactory,social:distance:model:factory,addPropertyChangeListener,add:property:change:listener
util.MvcUtil,mvc:util,MvcUtil,mvc:util,startSocialDistancingMvc,start:social:distancing:mvc,none,none,factory.ModelFactory,model:factory,@SocialDistanceModelFactory,social:distance:model:factory,getSingleton,get:singleton
util.MvcUtil,mvc:util,MvcUtil,mvc:util,startSocialDistancingMvc,start:social:distancing:mvc,none,none,factory.ViewFactory,view:factory,@SocialDistanceViewFactory,social:distance:view:factory,getSingleton,get:singleton
util.MvcUtil,mvc:util,MvcUtil,mvc:util,startSocialDistancingMvc,start:social:distancing:mvc,none,none,factory.ControllerFactory,controller:factory,@SocialDistanceControllerFactory,social:distance:controller:factory,processInput,process:input
util.MvcUtil,mvc:util,MvcUtil,mvc:util,startSocialDistancingMvc,start:social:distancing:mvc,none,none,factory.ControllerFactory,controller:factory,@SocialDistanceControllerFactory,social:distance:controller:factory,getSingleton,get:singleton
main.InterpolatingMain,interpolating:main,@SocialDistanceMVCInterpolatingMain,social:distance:mvc:interpolating:main,main,main,none,none,factory.ModelFactory,model:factory,@SocialDistanceModelFactory,social:distance:model:factory,setSocialDistancingModel,set:social:distancing:model
main.InterpolatingMain,interpolating:main,@SocialDistanceMVCInterpolatingMain,social:distance:mvc:interpolating:main,main,main,none,none,model.InterpolatingModel,interpolating:model,@SocialDistanceInterpolatingModel,social:distance:interpolating:model,InterpolatingModel,interpolating:model
